seed,episodes,wins,losses,truncations,average_reward,average_steps,model_path,metrics_path,reused_existing
1,100,100,0,0,1.0,4.76,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_1\metrics.json,False
2,100,100,0,0,1.0,4.58,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_off\seed_2\metrics.json,False
