seed,episodes,wins,losses,truncations,average_reward,average_steps,model_path,metrics_path,reused_existing
0,100,100,0,0,1.0,4.93,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_0\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_0\metrics.json,False
1,100,99,1,0,0.98,5.13,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_1\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_1\metrics.json,False
2,100,100,0,0,1.0,4.76,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_2\maskable_ppo_complete.zip,results\maskable_ppo_bc_standard_episode_mixed_4cfg\mirror_off_reversi_on\seed_2\metrics.json,False
