scenario,role,action,skill,policy_probability,pure_action_value,equilibrium_state_value,state_value
endgame_me_one_opp_two,TP,"NUM(total=0,thumb=0)",数字,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,"NUM(total=0,thumb=1)",数字,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,"NUM(total=1,thumb=0)",数字,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,"NUM(total=1,thumb=1)",数字,0.460000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,"NUM(total=2,thumb=0)",数字,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,"NUM(total=2,thumb=1)",数字,0.080000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,"NUM(total=3,thumb=0)",数字,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,"NUM(total=3,thumb=1)",数字,0.460000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,ガード(thumb=0),ガード,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,ガード(thumb=1),ガード,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,クイック(thumb=0),クイック,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,クイック(thumb=1),クイック,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,スキップ(thumb=0),スキップ,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,スキップ(thumb=1),スキップ,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,セメント(thumb=0),セメント,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,セメント(thumb=1),セメント,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,タイム(thumb=0),タイム,0.000000000000,0.500000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,タイム(thumb=1),タイム,0.000000000000,0.500000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,チャージ(thumb=0),チャージ,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,チャージ(thumb=1),チャージ,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,フェイント(thumb=0),フェイント,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,フェイント(thumb=1),フェイント,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,フラッシュ(thumb=0),フラッシュ,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,フラッシュ(thumb=1),フラッシュ,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,ブースト(thumb=0),ブースト,0.000000000000,0.500000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,ブースト(thumb=1),ブースト,0.000000000000,0.500000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,ロック(thumb=0),ロック,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,TP,ロック(thumb=1),ロック,0.000000000000,0.540000000000,0.540000000000,0.540000000000
endgame_me_one_opp_two,NTP,"NTP(なし,thumb=0)",なし,0.000000000000,0.730000000000,0.540000000000,0.540000000000
