scenario,description,value,number_mass,flash_mass,feint_mass,guard_mass,skip_mass,quick_mass,charge_mass,ntp_none_mass,ntp_counter_mass,ntp_block_mass,top_tp_action,top_ntp_action
locked_flash,Opponent is cemented to two thumbs and cannot react this turn.,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,フラッシュ(thumb=2),"NTP(なし,thumb=2)"
endgame_number,Both players have one hand remaining.,0.034188034188,0.076923076923,0.000000000000,0.068376068376,0.000000000000,0.854700854701,0.000000000000,0.000000000000,0.071225071225,0.037037037037,0.891737891738,スキップ(thumb=1),"NTP(ブロック,thumb=1)"
initial,Initial public state.,0.028303448276,0.240000000000,0.000000000000,0.052413793103,0.000000000000,0.707586206897,0.000000000000,0.000000000000,0.154482758621,0.068965517241,0.776551724138,スキップ(thumb=2),"NTP(ブロック,thumb=2)"
